office id,week,day,hour,workers,year
barIlan1,1,1,8,15,2018
barIlan1,1,1,9,15,2018
barIlan1,1,1,10,15,2018
barIlan1,1,1,11,15,2018
barIlan1,1,1,12,15,2018
barIlan1,1,1,13,15,2018
barIlan1,1,1,14,15,2018
barIlan1,1,1,15,15,2018
barIlan1,1,1,16,15,2018
barIlan1,1,1,17,15,2018
barIlan1,1,1,18,15,2018
barIlan1,1,1,19,15,2018
barIlan1,1,1,20,15,2018
barIlan1,1,2,8,15,2018
barIlan1,1,2,9,15,2018
barIlan1,1,2,10,15,2018
barIlan1,1,2,11,15,2018
barIlan1,1,2,12,15,2018
barIlan1,1,2,13,15,2018
barIlan1,1,2,14,15,2018
barIlan1,1,2,15,15,2018
barIlan1,1,2,16,15,2018
barIlan1,1,2,17,15,2018
barIlan1,1,2,18,0,2018
barIlan1,1,2,19,15,2018
barIlan1,1,2,20,15,2018
barIlan1,1,3,8,10,2018
barIlan1,1,3,9,10,2018
barIlan1,1,3,10,10,2018
barIlan1,1,3,11,10,2018
barIlan1,1,3,12,10,2018
barIlan1,1,3,13,10,2018
barIlan1,1,3,14,10,2018
barIlan1,1,3,15,10,2018
barIlan1,1,3,16,10,2018
barIlan1,1,3,17,10,2018
barIlan1,1,3,18,10,2018
barIlan1,1,3,19,10,2018
barIlan1,1,3,20,10,2018
barIlan1,1,4,8,15,2018
barIlan1,1,4,9,15,2018
barIlan1,1,4,10,15,2018
barIlan1,1,4,11,15,2018
barIlan1,1,4,12,15,2018
barIlan1,1,4,13,15,2018
barIlan1,1,4,14,15,2018
barIlan1,1,4,15,15,2018
barIlan1,1,4,16,15,2018
barIlan1,1,4,17,15,2018
barIlan1,1,4,18,15,2018
barIlan1,1,4,19,15,2018
barIlan1,1,4,20,15,2018
barIlan1,1,5,8,15,2018
barIlan1,1,5,9,15,2018
barIlan1,1,5,10,5,2018
barIlan1,1,5,11,15,2018
barIlan1,1,5,12,15,2018
barIlan1,1,5,13,15,2018
barIlan1,1,5,14,15,2018
barIlan1,1,5,15,15,2018
barIlan1,1,5,16,15,2018
barIlan1,1,5,17,15,2018
barIlan1,1,5,18,15,2018
barIlan1,1,5,19,15,2018
barIlan1,1,5,20,15,2018
barIlan1,1,6,8,15,2018
barIlan1,1,6,9,15,2018
barIlan1,1,6,10,15,2018
barIlan1,1,6,11,15,2018
barIlan1,1,6,12,15,2018
barIlan1,1,6,13,15,2018
barIlan1,1,6,14,15,2018
barIlan1,1,6,15,15,2018
barIlan1,1,6,16,15,2018
barIlan1,1,6,17,15,2018
barIlan1,1,6,18,15,2018
barIlan1,1,6,19,15,2018
barIlan1,1,6,20,15,2018
barIlan1,1,7,8,0,2018
barIlan1,1,7,9,0,2018
barIlan1,1,7,10,0,2018
barIlan1,1,7,11,0,2018
barIlan1,1,7,12,0,2018
barIlan1,1,7,13,0,2018
barIlan1,1,7,14,0,2018
barIlan1,1,7,15,0,2018
barIlan1,1,7,16,0,2018
barIlan1,1,7,17,0,2018
barIlan1,1,7,18,0,2018
barIlan1,1,7,19,0,2018
barIlan1,1,7,20,0,2018
barIlan1,2,1,8,15,2018
barIlan1,2,1,9,15,2018
